feed_copterspotter  | 2024-10-28 00:00:27,505 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:00:27 UTC +0000 
feed_copterspotter  | 2024-10-28 00:00:27,517 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 147 times
feed_copterspotter  | 2024-10-28 00:00:27,517 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730073627.001 MD52 N912PG no call (N912PG) altbaro 450 altgeom 775 head 186.07 Lat: 38.907848, Lon: -76.867126 gs 47.3 rssi -23.0 no squawk
feed_copterspotter  | 2024-10-28 00:00:27,704 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:00:57,708 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:00:57 UTC +0000 
feed_copterspotter  | 2024-10-28 00:00:57,721 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 148 times
feed_copterspotter  | 2024-10-28 00:00:57,721 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730073657.0 MD52 N912PG no call (N912PG) altbaro 475 altgeom 800 head 313.03 Lat: 38.909478, Lon: -76.870422 gs 61.6 rssi -20.9 no squawk
feed_copterspotter  | 2024-10-28 00:00:57,892 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:01:27,895 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:01:27 UTC +0000 
feed_copterspotter  | 2024-10-28 00:01:27,906 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 149 times
feed_copterspotter  | 2024-10-28 00:01:27,906 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730073687.0 MD52 N912PG no call (N912PG) altbaro 475 altgeom 800 head 313.03 Lat: 38.909478, Lon: -76.870422 gs 61.6 rssi -20.9 no squawk
feed_copterspotter  | 2024-10-28 00:01:28,089 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:01:58,092 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:01:58 UTC +0000 
feed_copterspotter  | 2024-10-28 00:01:58,104 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 150 times
feed_copterspotter  | 2024-10-28 00:01:58,105 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730073718.0 MD52 N912PG GARDN2 altbaro 450 altgeom 750 head 218.85 Lat: 38.911293, Lon: -76.860718 gs 46.2 rssi -22.6 no squawk
feed_copterspotter  | 2024-10-28 00:01:58,272 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:02:28,274 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:02:28 UTC +0000 
feed_copterspotter  | 2024-10-28 00:02:28,286 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 151 times
feed_copterspotter  | 2024-10-28 00:02:28,287 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730073748.0 MD52 N912PG GARDN2 altbaro 450 altgeom 750 head 218.85 Lat: 38.911293, Lon: -76.860718 gs 46.2 rssi -23.0 no squawk
feed_copterspotter  | 2024-10-28 00:02:28,457 - feed_copterspotter - INFO - Mongo Insert Status: 200
feed_copterspotter  | 2024-10-28 00:02:58,459 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:02:58 UTC +0000 
feed_copterspotter  | 2024-10-28 00:02:58,471 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 152 times
feed_copterspotter  | 2024-10-28 00:02:58,472 - feed_copterspotter - INFO - No Lat/Lon - Not reported: ac9f65: 1730073778.0 MD52 N912PG GARDN2 no heading Lat: None, Lon: None
feed_copterspotter  | 2024-10-28 00:03:28,473 - feed_copterspotter - INFO - Updating Helidb at 2024-10-28 00:03:28 UTC +0000 
feed_copterspotter  | 2024-10-28 00:03:28,486 - feed_copterspotter - INFO - Aircraft: ac9f65 is rotorcraft - Category: A7 flight: GARDN2 tail: N912PG type: MD52 seen: 153 times
feed_copterspotter  | 2024-10-28 00:03:28,487 - feed_copterspotter - INFO - Heli Reported ac9f65: 1730073808.0 MD52 N912PG GARDN2 altbaro 450 no heading Lat: 38.908585, Lon: -76.861247 rssi -23.4 no squawk
