feed_copterspotter  | 2024-10-25 00:20:45,852 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 15
feed_copterspotter  | 2024-10-25 00:51:32,306 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 15
feed_copterspotter  | 2024-10-25 01:22:06,958 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 15
feed_copterspotter  | 2024-10-25 01:52:39,311 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 15
feed_copterspotter  | 2024-10-25 02:23:10,192 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 15
feed_copterspotter  | 2024-10-25 02:53:42,127 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 15
feed_copterspotter  | 2024-10-25 03:24:30,690 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 15
feed_copterspotter  | 2024-10-25 03:55:06,242 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 15
feed_copterspotter  | 2024-10-25 04:25:39,289 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 15
feed_copterspotter  | 2024-10-25 04:56:17,234 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 15
feed_copterspotter  | 2024-10-25 05:26:50,241 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 15
feed_copterspotter  | 2024-10-25 05:57:20,737 - feed_copterspotter - INFO - hex_icao: a62041 flight:  seen: 15
feed_copterspotter  | 2024-10-25 06:21:52,245 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: Unk flight:  tail: N494PH type: B407 seen: 16 times
feed_copterspotter  | 2024-10-25 06:21:52,246 - feed_copterspotter - INFO - Heli Reported a62041: 1729837312.0 B407 N494PH no call (N494PH) altbaro 1075 no heading Lat: 38.55661, Lon: -76.963886 rssi -49.5 no squawk
feed_copterspotter  | 2024-10-25 06:22:22,723 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 17 times
feed_copterspotter  | 2024-10-25 06:22:22,723 - feed_copterspotter - INFO - Heli Reported a62041: 1729837342.0 B407 N494PH  altbaro 1075 altgeom 1050 head 20.14 Lat: 38.572998, Lon: -76.957458 gs 95.9 rssi -23.2 no squawk
feed_copterspotter  | 2024-10-25 06:22:53,178 - feed_copterspotter - INFO - Aircraft: a62041 is rotorcraft - Category: A7 flight:  tail: N494PH type: B407 seen: 18 times
