group,tail,type,hex,operator,onMap?,callsign,radio callsign,year,details,parking spot,Notes,media,additional media,Bot Description
Police,N911DC,AS50,AC9AB0,DC Metro Police,TRUE,Falcon 1,Falcon 1,2001,Eurocopter AS350 B3,DCA,,https://twitter.com/1crazyarchitect/status/1337850750844739588,https://flightaware.com/photos/view/269247-83ec2c0c8f0ff0a57a92e54813dd143f417bc32d/aircrafttype/AS35,
Police,N911AS,AS50,AC9A73,DC Metro Police,TRUE,Falcon 2,Falcon 2,2006,Eurocopter AS350 B3,DCA,,https://twitter.com/districtheli/status/1383476334513430539/photo/1,,
Police,N11PP,B412,A02B2D,US Park Police,TRUE,Eagle 1,Eagle 1,2003,Bell 412EP,Eagles Nest,,https://twitter.com/1crazyarchitect/status/1365749111505506306/photo/1,https://flightaware.com/photos/view/397255-086e025b237ef6a66f6378828b1e13aa987bef90/aircrafttype/B412,Park Police Helicopter
Police,N22PP,B412,A1DFFB,US Park Police,TRUE,Eagle 2,Eagle 2,1998,Bell 412EP,Eagles Nest,,https://twitter.com/holy_itsViper/status/1369319522784714753/photo/1,https://twitter.com/1crazyarchitect/status/1376932008291676168/photo/1,Park Police Helicopter
Police,N33PP,B06,A394C9,US Park Police,TRUE,Eagle 3,Eagle 3,1983,Bell 206-L-3,Eagles Nest,,https://twitter.com/districtheli/status/1383911905249484801/photo/2,,Park Police Helicopter
Police,N381MD,A139,A46018,MD State Police,TRUE,,,2012,AgustaWestland 139,"Frederick Municipal Airport, MD",,https://twitter.com/holy_itsViper/status/1369392758037811201/photo/1,,
Police,N382MD,A139,A463CF,MD State Police,TRUE,,,,Maryland Police Helicopter,,,https://helicoptersofdc.com/helicopters/99-maryland-state-police/,,
Police,N383MD,A139,A46786,MD State Police,TRUE,,,,Maryland Police Helicopter,,,https://helicoptersofdc.com/helicopters/99-maryland-state-police/,,
Police,N384MD,A139,A46B3D,MD State Police,TRUE,,,,Maryland Police Helicopter,,,https://helicoptersofdc.com/helicopters/99-maryland-state-police/,,
Police,N385MD,A139,A46EF4,MD State Police,TRUE,,,,,,,,,
Police,N386MD,A139,A472AB,MD State Police,TRUE,,,2013,AgustaWestland 139,"Martin State Airport, MD",,https://flightaware.com/photos/view/2921352-1b35d9024bb7d29183ada677284387158f5dcc05/aircrafttype/A139,,
Police,N388MD,A139,A47A19,MD State Police,TRUE,,,,Maryland Police Helicopter,,,Maryland Police Helicopter,,
Police,N389MD,A139,A47DD0,MD State Police,TRUE,,,2013,AgustaWestland 139,"Salisbury Rgnl Airport, MD",,https://twitter.com/fergindc/status/1380977918113947654/photo/1,,
Police,N390MD,A139,A483E0,MD State Police,TRUE,,,2014,AgustaWestland 139,"Martin State Airport, MD",,https://twitter.com/holy_itsViper/status/1370811840758956035,,
Police,,,,,,TRP1,Trooper 1,,,,,,,
Police,,,,,,TRP2,Trooper 2,,looks like its the trooper call signs which are connected to the airports,,,,,
Police,,,,,,TRP3,Trooper 3,,so we should move the above airports over to here,,,,,
Police,,,,,,TRP7,Trooper 4,,,,,,,
Police,,,,,,TRP5,Trooper 5,,,,,,,
Police,,,,,,TRP6,Trooper 6,,,,,,,
Police,,,,,,TRP7,Trooper 7,,,,,,,
Police,,,,,,TRP8,Trooper 8,,,,typically maintenance flights,,,
Police,N911PG,MD52,AC9BAE,PG County Police,TRUE,GARDN1,Guardian 1,2000,MD Heli 520N,"College Park, MD",,,,
Police,N912PG,MD52,AC9F65,PG County Police,TRUE,GARDN2,Guardian 2,2007,MD Heli 520N,"College Park, MD",,https://twitter.com/holy_itsViper/status/1369380414339579915/photo/1,,
Police,N913PG,MD52,ACA31C,PG County Police,TRUE,GARDN3,Guardian 3,2008,MD Heli 520N,"College Park, MD",,https://twitter.com/1crazyarchitect/status/1351270442745683972/photo/1,,
Police,N910PG,MD52,AC97F7,PG County Police,TRUE,GARDN4,Guardian 4,2000,MD Heli 520N,"College Park, MD",,,,
